chapter,word,translate,phonetic,example,example_translate
C7,April,n. 四月,ˈeɪprəl,She was born in April.,她出生于四月。
C7,children,n. 儿童；小孩；“child”的复数；,ˈtʃɪldrən,The children are playing in the park.,孩子们正在公园里玩耍。
C7,repeated,v. 重复；“repeat”的过去式和过去分词； adj. 重复的；反复发生的；,rɪˈpiːtɪd,He repeated the words after the teacher.,他跟着老师重复了这些话。
C7,human,"adj. 人的；人类的；
n. 人；人类；",ˈhjuːmən,Human emotions are complex and powerful.,人的情感复杂而强大。
C7,magic,"n. 魔术；魔法；
adj. 魔术（似）的；神奇的；",ˈmædʒɪk,He performed magic at the birthday party.,他在生日聚会上表演了魔术。
C7,distance,n. 距离；远处；,ˈdɪstəns,The distance between the two towns is 10 kilometers.,两个城镇之间的距离是10公里。
C7,culture,n. 文化；培养；,ˈkʌltʃə(r),She loves learning about different cultures.,她喜欢了解不同的文化。
C7,fire,"n. 火；
v. 射击；开火；",ˈfaɪə(r),The fire burned brightly in the fireplace.,火在壁炉里熊熊燃烧。
C7,touching,v. 触摸；接触；“touch”的现在分词；,ˈtʌtʃɪŋ,He touched the flower gently.,他轻轻触摸了那朵花。
C7,intact,adj. 完整无缺的；,ɪnˈtækt,The vase remained intact after the fall.,花瓶从高处摔下后依然完整无缺。
C7,direction,n. 方向；指导；指示；,dəˈrekʃ(ə)n,He asked for the direction to the station.,他问了去车站的方向。
C7,confident,adj. 自信的；确信的；,ˈkɒnfɪdənt,He is confident when he speaks in front of the class.,他在全班面前说话时很自信。
C7,vision,n. 想象；视力；视野；,ˈvɪʒ(ə)n,He has a vision of a world without war.,他想象一个没有战争的世界。
C7,correction,n. 改正；修正；,kəˈrekʃ(ə)n,He made a correction to his answer.,他改正了他的答案。
C7,balance,"n. 平衡；天平；秤；
v. （使）相抵；（使）平衡；",ˈbæləns,She maintains a good balance between work and rest.,她在工作和休息之间保持良好的平衡。
C7,business,n. 生意；商业；事务；,ˈbɪznəs,He runs a small business selling bread.,他经营一家卖面包的小生意。
C7,kitchen,n. 厨房,ˈkɪtʃɪn,She cooks dinner in the kitchen.,她在厨房里做晚饭。
C7,world,n. 世界,wɜːld,He loves the world and wants to travel everywhere.,他热爱这个世界，想要去所有地方旅行。
C7,escape,"v. 逃避；逃走；
n. 逃脱；逃避；",ɪˈskeɪp,He tried to escape from the prison.,他试图逃离监狱。
C7,baby,n. 婴儿；宝贝；,ˈbeɪbi,The baby is sleeping in the crib.,婴儿正在婴儿床里睡觉。
C7,chocolate,n. 巧克力；,ˈtʃɒklət,He ate a piece of chocolate after dinner.,他晚饭后吃了一块巧克力。
C7,meat,n. 肉,miːt,He eats meat every day.,他每天吃肉。
C7,cheese,n. 奶酪,tʃiːz,He eats cheese every morning.,他每天早上吃奶酪。
C7,new taste,n. 新口味；新品味；新体验,/njuː teɪst/,He tried a new taste of ice cream.,他尝了一种新的冰淇淋口味。
C7,common,adj. 常见的；普通的；共有的；,ˈkɒmən,Colds are a common illness in winter.,感冒在冬天是很常见的疾病。
C7,bitterness,n. 苦味；,ˈbɪtənəs,The coffee had a strong bitterness.,这杯咖啡有很重的苦味。
C7,mineral,n. 矿物；矿物质；,ˈmɪnərəl,Rock contains many minerals.,岩石中含有许多矿物。
C8,surface,"n. 表面；
v. 显露；",ˈsɜːfɪs,The surface of the table is smooth.,桌子的表面很光滑。
C8,environment,n. 环境,ɪnˈvaɪrənmənt,He protects the environment by recycling.,他通过回收利用来保护环境。
C8,impact,"n. 影响力；冲击（力）；
v. 对…产生影响；",ˈɪmpækt,The new law had a big impact on education.,这项新法律对教育产生了重大影响。
C8,effect,n. 影响；作用；效果；效应；,ɪˈfekt,The new law had a big effect on traffic.,新法律对交通产生了很大影响。
C8,urban,adj. 城市的；都市的；,ˈɜːbən,The urban area has many tall buildings.,这个城市地区有许多高楼。
C8,problems,n. 问题；“problem”的复数；,ˈprɒbləmz,He has many problems with math.,他在数学上有很多问题。
C8,images,n. 照片；景象；“image”的复数；,ˈɪmɪdʒz,He showed me his images from the trip.,他给我看了他旅行时拍的照片。
C8,patterns,n. 模式；图案；“pattern”的复数；,ˈpæt(ə)nz,The children noticed patterns in the tiles on the floor.,孩子们注意到了地板瓷砖上的模式。
C8,distortion,n. 扭曲；歪曲；失真；畸变；,dɪˈstɔːʃ(ə)n,The photo showed distortion in the lines.,这张照片中的线条出现了扭曲。
C8,traffic,n. 交通；流量；,ˈtræfɪk,The traffic on the highway was very heavy this morning.,今天早上高速公路上的交通非常拥堵。
C8,weather,n. 天气；,ˈweðə(r),The weather is sunny today.,今天天气晴朗。
C8,combinations,n. 合作；组合；,ˌkɒmbɪˈneɪʃnz,The two companies made combinations to develop new technology.,两家公司合作开发新技术。
C8,system,n. 系统；体系；,ˈsɪstəm,The school has a new grading system.,学校有一个新的评分系统。
C8,safety,n. 安全；平安；,ˈseɪfti,Wearing a helmet improves your safety.,戴头盔能提高你的安全。
C8,attitude,n. 态度；看法；姿态；,ˈætɪtjuːd,His attitude toward homework is very positive.,他对作业的态度非常积极。
C8,control,"n. 控制；管制；
v. 控制；操纵；",kənˈtrəʊl,The teacher has good control of the class.,老师对课堂有很好的控制。
C8,factory,n. 工厂；制造厂；,ˈfæktəri,The factory makes cars.,这家工厂生产汽车。
C8,skill,n. 技能；技巧；,skɪl,He learned cooking skill from his mother.,他从妈妈那里学到了烹饪技能。
C8,animal,n. 动物,ˈænɪm(ə)l,The animal is sleeping in the forest.,这只动物正在森林里睡觉。
C8,creature,n. 生物；动物；,ˈkriːtʃə(r),The creature lived in the forest.,这个生物生活在森林里。
C8,sea,n. 海；海洋；,siː,The fish swim in the sea.,鱼在海里游泳。
C8,water level,phrase. 水位,ˈwɔːtə lev(ə)l,The water level is rising fast.,水位正在迅速上升。
C8,hunting,n. 打猎；寻找； v. “hunt”的现在分词；,ˈhʌntɪŋ,Hunting is popular in some rural areas.,打猎在一些农村地区很流行。
C8,creation,n. 创造物；创作；,kriˈeɪʃ(ə)n,The painting is a beautiful creation of the artist.,这幅画是艺术家的一个美丽作品。
C9,tide,n. 潮汐；潮流；,taɪd,The tide comes in every twelve hours.,潮汐每十二小时涨一次。
C9,hearing,n. 听力；听觉； v. 听；听见；“hear”的现在分词；,ˈhɪərɪŋ,His hearing is getting worse with age.,他的听力随着年龄增长而变差。
C9,ear,n. 耳朵,ɪə(r),He hurt his ear while playing soccer.,他在踢足球时伤了耳朵。
C9,plant,"n. 植物；工厂；发电厂；装置；
v. 种植；栽培；",plɑːnt,The plant grows near the window.,这株植物长在窗边。
C9,animals,n. 动物；“animal”的复数；,ˈænɪm(ə)lz,The children love to see animals at the zoo.,孩子们喜欢在动物园看动物。
C9,Fishes,n. 鱼；“fish”的复数；,ˈfɪʃɪz,The pond has many fishes.,池塘里有很多鱼。
C9,feeding,v. 吃；喂；“feed”的现在分词； n. 饲养；给食；,ˈfiːdɪŋ,The baby is feeding on milk.,婴儿正在喝奶。
C9,noise,n. 噪声；噪音；,nɔɪz,The noise from the street kept me awake.,街道上的噪声让我睡不着。
C9,healthy,adj. 健康的；健壮的；,ˈhelθi,She eats healthy food every day.,她每天吃健康的食物。
C9,group,"n. 组；群；集团；
v. （使）形成组；",ɡruːp,The students are in a group of five.,这些学生组成一个五人小组。
C9,social,adj. 社会的；社交的；,ˈsəʊʃ(ə)l,Social problems affect many families.,社会问题影响许多家庭。
C9,leader,n. 领袖；领导者；,ˈliːdə(r),He is a leader who helps his team succeed.,他是一位帮助团队取得成功的领袖。
C9,network,n. 网络；网路；网状物；,ˈnetwɜːk,The internet is a big network of computers.,互联网是一个庞大的计算机网络。
C9,central,adj. 中央的；中心的；,ˈsentrəl,The central park is in the middle of the city.,中央公园位于城市中心。
C9,conversation,n. 谈话；会话；交谈；,ˌkɒnvəˈseɪʃ(ə)n,We had a short conversation about the weather.,我们简短地聊了聊天气。
C9,effectively,adv. 有效地；实际上；,ɪˈfektɪvli,She completed the task effectively.,她有效地完成了任务。
C9,risk,"n. 风险；
v. 冒...的危险；",rɪsk,He took a risk by starting his own business.,他创业时承担了风险。
C9,level,"n. 水平；程度；等级；
adj. 平齐的；
v. 使平坦；",ˈlev(ə)l,His English level is very high.,他的英语水平很高。
C9,description,n. 描述；形容；,dɪˈskrɪpʃ(ə)n,The teacher gave a clear description of the experiment.,老师对实验做了清晰的描述。
C9,technical,adj. 技术的；专业的；,ˈteknɪk(ə)l,He works in a technical department.,他在一个技术部门工作。
C9,change,"n. 变化；变革；
v. 变化；变革；",tʃeɪndʒ,There was a big change in the weather.,天气发生了很大的变化。
C9,responsibility,n. 责任；职责；,rɪˌspɒnsəˈbɪləti,He took responsibility for the mistake.,他承担了这个错误的责任。
C9,flexible,adj. 灵活的；柔韧的；,ˈfleksəb(ə)l,She is flexible with her schedule.,她的日程安排很灵活。
C9,glass,n. 玻璃；玻璃杯；,ɡlɑːs,The window is made of glass.,这扇窗户是玻璃做的。
C9,insulation,n. 绝缘；隔离；,ˌɪnsjuˈleɪʃ(ə)n,The house has good insulation to keep warm in winter.,这所房子有良好的绝缘层以在冬天保暖。
C9,window,n. 窗口；窗户；,ˈwɪndəʊ,She opened the window to let in fresh air.,她打开窗户让新鲜空气进来。
C9,electricity,n. 电力；电学；,ɪˌlekˈtrɪsəti,The town lost electricity during the storm.,风暴期间，这个城镇停电了。
C9,floor,n. 楼层；地面；地板；,flɔː(r),My room is on the third floor.,我的房间在三楼。
C9,waste,"n. 垃圾；废物；浪费；
v. 浪费；白费；糟蹋；
adj. 荒芜的；废弃的；",weɪst,The children threw waste into the bin.,孩子们把垃圾扔进了垃圾桶。
C9,concrete,"n. 混凝土；
adj. 具体的；",ˈkɒŋkriːt,The workers poured concrete to build the foundation.,工人们浇筑混凝土来建造地基。
C9,frog,n. 青蛙,frɒɡ,The frog jumps over the pond.,青蛙跳过池塘。
C9,predator,n. 掠夺者；捕食性动物；食肉动物；,ˈpredətə(r),The lion is a predator that hunts deer.,狮子是一种捕食鹿的掠夺者。
C9,count,"v. 计算；看作；清点；
n. 计数；计算；",kaʊnt,He counts the apples on the table.,他计算桌子上的苹果数量。
C9,seed,"n. 种子；籽；
v. 播种；",siːd,The farmer planted the seed in the soil.,农夫把种子种在土里。
C10,gene,n. 基因,dʒiːn,He has a gene that makes him tall.,他有一个让他长高的基因。
C10,power,"n. 力量；电源；权力；强国；
v. 给…提供能量；供以动力；",ˈpaʊə(r),The power of the storm broke the trees.,风暴的力量折断了树木。
C10,stranger,n. 新来者；陌生人； adj. “strange”的比较级；,ˈstreɪndʒə(r),He is a stranger in this town.,他是这个镇上的新来者。
C10,erosion,n. 腐蚀；侵蚀；,ɪˈrəʊʒ(ə)n,Water causes erosion of the soil.,水会导致土壤腐蚀。
C10,island,n. 岛,ˈaɪlənd,He lives on a small island.,他住在一个小岛上。
C10,road,n. 道路；公路；,rəʊd,The road is long and quiet.,这条路又长又安静。
C10,fishing,n. 钓鱼；捕鱼； v. 钓鱼；捕鱼；“fish”的现在分词；,ˈfɪʃɪŋ,He likes fishing by the lake every weekend.,他喜欢每周末去湖边钓鱼。
C10,reproduction,n. 生殖；繁殖；复制；,ˌriːprəˈdʌkʃ(ə)n,The reproduction of rabbits is very fast.,兔子的生殖速度很快。
C10,method,n. 方法；办法；,ˈmeθəd,He found a new method to solve the problem.,他找到了一种解决这个问题的新方法。
C10,expansion,n. 扩张；扩充；,ɪkˈspænʃ(ə)n,The city's expansion caused more traffic.,城市的扩张导致了更多的交通拥堵。
C10,competition,n. 竞争；比赛；,ˌkɒmpəˈtɪʃ(ə)n,There is strong competition between the two companies.,这两家公司之间竞争激烈。
C10,global,adj. 全球的,ˈɡləʊb(ə)l,The problem is a global issue.,这个问题是一个全球性的问题。
C10,demand,"n. 需求；要求；
v. 要求；需求；",dɪˈmɑːnd,The demand for clean water is increasing.,对清洁水的需求正在增加。
C10,customer,n. 客户；顾客；主顾；,ˈkʌstəmə(r),The customer bought a new phone.,这位客户买了一部新手机。
C10,regulation,n. 管理；条例；规则；,ˌreɡjuˈleɪʃ(ə)n,The government made a new regulation to control pollution.,政府出台了一项新管理措施来控制污染。
C10,project,"n. 计划；方案；项目；课题；
v. 投射；预计；",ˈprɒdʒekt,He presented his school project to the class.,他向全班展示了他的学校计划。
C10,flexible,adj. 灵活的；柔韧的；,ˈfleksəb(ə)l,She is flexible with her schedule.,她的日程安排很灵活。
C10,leadership,n. 领导才能；领导地位；,ˈliːdəʃɪp,His leadership helped the team win the match.,他的领导才能帮助团队赢得了比赛。
C10,women,n. 妇女；女人；“woman”的复数；,ˈwɪmɪn,Women work hard in every field.,妇女在各个领域都努力工作。
C10,self-employed,adj. 自己经营的；个体经营的；非受雇于人的,ˌself ɪmˈplɔɪd,He is self-employed and works from home.,他是自由职业者，在家工作。
C10,achievement,n. 成就；成绩；完成；,əˈtʃiːvmənt,He felt proud of his academic achievement.,他为自己的学业成就感到自豪。
C10,personality,n. 个性；人格；,ˌpɜːsəˈnæləti,His personality is very friendly and outgoing.,他的个性非常友好和外向。
C10,character,n. 性格；人物角色；特点；,ˈkærəktə(r),His character is kind and patient.,他的性格善良且有耐心。
C10,situational,adj. 情景的,ˌsɪtʃuˈeɪʃən(ə)l,He gave a situational answer to the question.,他对这个问题给出了一个情境相关的回答。
C10,friend,n. 朋友,frend,He is my friend.,他是我的朋友。
C10,aspiration,n. 渴望；,ˌæspəˈreɪʃ(ə)n,His aspiration is to become a doctor.,他的渴望是成为一名医生。
C10,ambition,n. 野心；雄心；抱负；,æmˈbɪʃ(ə)n,His ambition is to become a president.,他的野心是成为总统。
C10,style,n. 风格；方式；样式；文体；,staɪl,Her dress has a unique style.,她的裙子有一种独特的风格。
C10,development,n. 发展；开发；,dɪˈveləpmənt,The development of the town took many years.,这个小镇的发展花了许多年。
C10,vision,n. 想象；视力；视野；,ˈvɪʒ(ə)n,He has a vision of a world without war.,他想象一个没有战争的世界。
C10,structure,"n. 结构；建筑物；
v. 组织；",ˈstrʌktʃə(r),The structure of the bridge is very strong.,这座桥的结构非常坚固。
C10,innovation,n. 创新；,ˌɪnəˈveɪʃ(ə)n,The company values innovation in its products.,这家公司重视产品的创新。
C10,metal,n. 金属,ˈmet(ə)l,He found a piece of metal in the garden.,他在花园里发现了一块金属。
C10,space,"n. 空间；太空；空格；
v. 以一定间隔排列；",speɪs,The room has enough space for a bed and a desk.,这个房间有足够的空间放一张床和一张书桌。
C10,memory,n. 记忆力；回忆；,ˈmeməri,His memory is very good; he remembers everything.,他的记忆力很好；他什么都记得。
C10,solar,adj. 太阳的；太阳能的；,ˈsəʊlə(r),The solar panel collects energy from the sun.,太阳能板从太阳收集能量。
C10,oil,n. 油；石油；,ɔɪl,She put oil on the pan before cooking.,她在锅里倒了油再做饭。
C10,waste,"n. 垃圾；废物；浪费；
v. 浪费；白费；糟蹋；
adj. 荒芜的；废弃的；",weɪst,The children threw waste into the bin.,孩子们把垃圾扔进了垃圾桶。
C10,test,"n. 试验；测验；
v. 试验；测试；",test,The scientist ran a test to see if the drug works.,科学家进行了一次试验，以查看这种药物是否有效。
C11,conservation,n. 保护；节约（自然资源）；,ˌkɒnsəˈveɪʃ(ə)n,The park is for the conservation of wild animals.,这个公园是为了保护野生动物。
C11,food,n. 食物,fuːd,He eats healthy food every day.,他每天吃健康的食物。
C11,surface,"n. 表面；
v. 显露；",ˈsɜːfɪs,The surface of the table is smooth.,桌子的表面很光滑。
C11,oxygen,n. 氧气；,ˈɒksɪdʒən,Plants release oxygen into the air.,植物向空气中释放氧气。
C11,mammal,n. 哺乳动物,ˈmæm(ə)l,A dog is a mammal.,狗是一种哺乳动物。
C11,ice,n. 冰；,aɪs,The lake is covered with ice in winter.,冬天湖面结满了冰。
C11,decline,"n. 下降；衰退；
v. 下降；衰退；",dɪˈklaɪn,There was a sharp decline in sales last month.,上个月销售额大幅下降。
C11,decrease,"n. 减少；
v. 减少；降低；",dɪˈkriːs,There was a decrease in rainfall last month.,上个月降雨量减少了。
C11,map,n. 地图,mæp,He uses a map to find the way.,他用地图找路。
C11,migration,n. 迁移；迁徙；转移；,maɪˈɡreɪʃ(ə)n,Birds begin migration in autumn.,鸟类在秋天开始迁徙。
C11,consumption,n. 消耗；消费；,kənˈsʌmpʃ(ə)n,The consumption of water has increased this year.,今年水的消耗量增加了。
C11,social,adj. 社会的；社交的；,ˈsəʊʃ(ə)l,Social problems affect many families.,社会问题影响许多家庭。
C11,factory,n. 工厂；制造厂；,ˈfæktəri,The factory makes cars.,这家工厂生产汽车。
C11,canal,n. 运河；沟渠；,kəˈnæl,The boat travels through the canal.,船通过运河航行。
C11,bridge,n. 桥；桥梁；,brɪdʒ,The bridge crosses the river.,这座桥横跨河流。
