chapter,word,translate,phonetic
章3-1,beats,n. 节奏；拍子；（音乐的）节拍；（警察的）巡逻区域,biːts
章3-1,beauty,n. 美；美的事物；美丽；美人；,ˈbjuːti
章3-1,bed,n. 床；底；,bed
章3-1,bedroom,n. 卧室,ˈbedruːm
章3-1,bed sheet,phrase. 床单,bed ʃiːt
章3-1,bedsit,n. 卧室兼起居室,ˈbedsɪt
章3-1,behaviors,n. 表现；举止；“behavior”的复数；,bɪheɪˈviːəʊz
章3-1,belt,n. 传送带；,belt
章3-1,benefit,v. 有益于；有助于； n. 利益；好处；,ˈbenɪfɪt
章3-1,beverage,n. 饮料,ˈbevərɪdʒ
章3-1,bibliography,n. 参考书目；,ˌbɪbliˈɒɡrəfi
章3-1,bicycle,n. 自行车；脚踏车；,ˈbaɪsɪk(ə)l
章3-1,bill,n. 账单；钞票；议案；,bɪl
章3-1,biologist,n. 生物学家,baɪˈɒlədʒɪst
章3-1,bird,n. 鸟,bɜːd
章3-1,birth,n. 出生；诞生；,bɜːθ
章3-1,blanket,n. 毛毯；厚的覆盖物； adj. 包括所有的；,ˈblæŋkɪt
章3-1,blast,n. 一阵强劲的气流；爆炸；,blɑːst
章3-1,block,n. 大楼；大厦；块；街区；障碍物； v. 阻塞；阻碍；,blɒk
章3-1,blouse,n. 宽松的女短衫；女衬衫,blaʊz
章3-1,board,n. 板；董事会； v. 上船（或火车、飞机等）；,bɔːd
章3-1,boarder,n. 寄宿生；寄膳宿者,ˈbɔːdə(r)
章3-1,boat,n. 小船；,bəʊt
章3-1,bone,n. 骨；骨头；,bəʊn
章3-1,bowl,n. 碗；碗状物；,bəʊl
章3-1,bowling,n. 保龄球； v. “bowl”的现在分词；,ˈbəʊlɪŋ
章3-1,branch,n. 分支；分公司；树枝；,brɑːntʃ
章3-1,breakfast,n. 早餐；早饭；,ˈbrekfəst
章3-1,brick,n. 砖；砖块；,brɪk
章3-1,bridge,n. 桥；桥梁；,brɪdʒ
章3-1,brochures,n.小册子,brəʊˈʃʊə(r)
章3-1,building,n. 建筑物；楼房； v. 建筑；“build”的现在分词；,ˈbɪldɪŋ
章3-1,bungalow,n. 平房；,ˈbʌŋɡələʊ
章3-1,burger,n. 汉堡包,ˈbɜːɡə(r)
章3-1,burglar,n. 窃贼；夜盗,ˈbɜːɡlə(r)
章3-1,bus,n. 公共汽车；巴士；,bʌs
章3-1,cab,n. 出租车；,kæb
章3-2,cabinet,n. 储藏柜；内阁；,ˈkæbɪnət
章3-2,cable,n. 电缆；钢索；,ˈkeɪb(ə)l
章3-2,cafe,n. 咖啡馆,ˈkæfeɪ
章3-2,cafeteria,n. 自助餐厅；自助食堂；,ˌkæfəˈtɪəriə
章3-2,cage,n. 笼子；,keɪdʒ
章3-2,Cambridge,n. 剑桥大学；剑桥；,ˈkeɪmbrɪdʒ
章3-2,camel,n. 骆驼,ˈkæm(ə)l
章3-2,camera,n. 摄像机；照相机；,ˈkæmrə
章3-2,camp,n. 营地； v. 宿营；露营；,kæmp
章3-2,campus,n. （大学、学院的）校园；,ˈkæmpəs
章3-2,candidate,n. 候选人；应试者；,ˈkændɪdət
章3-2,candle,n. 蜡烛,ˈkænd(ə)l
章3-2,canteen,n. 食堂,kænˈtiːn
章3-2,capital,n. 首都；财富；大写字母； adj. 大写的；,ˈkæpɪt(ə)l
章3-2,capsule,n. 胶囊；,ˈkæpsjuːl
章3-2,carbon,n. 碳；,ˈkɑːbən
章3-2,care,n. 照料；谨慎；关心； v. 关心；在意；在乎；,keə(r)
章3-2,career,n. 事业；生涯；,kəˈrɪə(r)
章3-2,carpet,n. 地毯,ˈkɑːpɪt
章3-2,carving,n. 雕刻品；雕刻图案； v. 雕刻；“carve”的现在分词；,ˈkɑːvɪŋ
章3-2,cashier,n. 出纳员，收银员 v. 革除（军职）,kæˈʃɪə(r)
章3-2,castle,n. 城堡,ˈkɑːs(ə)l
章3-2,category,n. 类别,ˈkætəɡəri
章3-2,cathedral,n. 大教堂,kəˈθiːdrəl
章3-2,cause,v. 导致；引起； n. 原因；理由；事业；,kɔːz
章3-2,cave,n. 洞穴,keɪv
章3-2,cents,n.分,sɛnts
章3-2,century,n. 世纪；百年；,ˈsentʃəri
章3-2,certificate,n. 证书；,səˈtɪfɪkət
章3-2,chair,n. 椅子；主席；,tʃeə(r)
章3-2,chance,n. 可能性；机会；,tʃɑːns
章3-2,chancellor,n. 大臣；总理；,ˈtʃɑːnsələ(r)
章3-2,channel,n. 海峡；渠道；河床；频道； v. 引导；,ˈtʃæn(ə)l
章3-2,chapter,n. 篇章,ˈtʃæptə(r)
章3-2,character,n. 性格；人物角色；特点；,ˈkærəktə(r)
章3-2,charge,n. 收费；负责；指控； v. 收费；充电；,tʃɑːdʒ
章3-2,charity,n. 慈善团体；慈善；,ˈtʃærəti
章3-2,chart,n. 图表；,tʃɑːt
章3-2,chat,v. 聊天； n. 聊天；,tʃæt
章3-2,checklist,n. 清单；检查表；备忘录；目录册；,ˈtʃeklɪst
章3-2,check,v. 检查；核对； n. 检查；支票；阻止；,tʃek
章3-2,cheese,n. 奶酪,tʃiːz
章3-2,chemist's,n. 药店,ˈkemɪsts
章3-2,chest,n. 胸部；箱子；柜子；,tʃest
章3-2,chick,n. 小鸡；雏鸟,tʃɪk
章3-2,chicken,n. 鸡肉；鸡；,ˈtʃɪkɪn
章3-2,child,n. 儿童；小孩；,tʃaɪld
章3-2,chin,n. 下巴；颏；,tʃɪn
章3-2,chocolate,n. 巧克力；,ˈtʃɒklət
章3-2,choice,n. 选择；抉择；精选品；,tʃɔɪs
章3-2,church,n. 教堂,tʃɜːtʃ
章3-2,cinema,n. 电影；电影院；,ˈsɪnəmə
章3-2,circle,n. 圆；圈； v. 圈出；环绕；,ˈsɜːk(ə)l
章3-2,city,n. 城市,ˈsɪti
章3-2,clarity,n. 清晰；,ˈklærəti
章3-2,cleaner,n. 清洁工人；清洁工具； adj. 更洁净的；更干净的；“clean”的比较级；,ˈkliːnə(r)
章3-2,cleaning,n. 清洁；打扫； v. 打扫；“clean”的现在分词；,ˈkliːnɪŋ
章3-2,client,n. 客户；,ˈklaɪənt
章3-2,cliffs,n. 悬崖；峭壁；“cliff”的复数；,klɪfs
章3-2,climate,n. 气候；（社会）风气；,ˈklaɪmət
章3-2,clinic,n. 诊所；,ˈklɪnɪk
章3-2,clock,n. 时钟,klɒk
章3-2,cloth,n. 布；布料；,klɒθ
章3-2,clothing,n. 衣服；服装；,ˈkləʊðɪŋ
章3-2,club,n. 俱乐部；棍子；,klʌb
章3-2,coach,n. 教练；长途客运汽车； v. 训练；培训；,kəʊtʃ
章3-2,coast,n. 海岸；海滨；,kəʊst
章3-2,code,n. 代码；编码；行为准则；密码；法典；,kəʊd
章3-2,coke,n. 焦炭；,kəʊk
章3-2,cola,n. 可乐饮料,ˈkəʊlə
章3-2,colleague,n. 同事,ˈkɒliːɡ
章3-2,college,n. 学院；大学；,ˈkɒlɪdʒ
章3-2,comedy,n. 喜剧,ˈkɒmədi
章3-2,commercials,n. 商业广告；,kəˈmɜːʃlz
章3-2,commuter,n. 通勤者；经常往返者；,kəˈmjuːtə(r)
章3-2,companion,n. 同伴；伴侣；,kəmˈpænjən
章3-2,company,n. 公司；陪伴；,ˈkʌmpəni
章3-2,complaint,n. 投诉；抱怨；,kəmˈpleɪnt
章3-2,complex,adj. 复杂的； n. 综合楼（群）；,ˈkɒmpleks
章3-2,computer,n. 计算机；电脑；,kəmˈpjuːtə(r)
章3-2,concert,n. 音乐会；演奏会；一致；和谐；,ˈkɒnsət
章3-2,conclusion,n. 结论；结尾；,kənˈkluːʒ(ə)n
章3-2,condition,n. 状态；条件；环境；,kənˈdɪʃ(ə)n
章3-2,conferences,n. 大型会议；“conference”的复数；,ˈkanfərənsɪs
章3-2,confidence,n. 信心；信任；,ˈkɒnfɪdəns
章3-2,confirmation,n. 确认书；证实；确认；,ˌkɒnfəˈmeɪʃ(ə)n
章3-2,congestion,n. 堵塞；,kənˈdʒestʃən
章3-2,conqueror,n. 征服者；占领者,ˈkɒŋkərə(r)
章3-2,conquest,n. 攻克；征服；,ˈkɒŋkwest
章3-2,conversation,n. 谈话；会话；交谈；,ˌkɒnvəˈseɪʃ(ə)n
章3-2,conservation,n. 保护；节约（自然资源）；,ˌkɒnsəˈveɪʃ(ə)n
章3-2,construction,n. 建筑；建设；,kənˈstrʌkʃ(ə)n
章3-2,consultant,n. 顾问,kənˈsʌltənt
章3-2,consumption,n. 消耗；消费；,kənˈsʌmpʃ(ə)n
章3-2,contact,n. 接触；联系； v. 接触；联系；,ˈkɒntækt
章3-2,container,n. 容器；集装箱；,kənˈteɪnə(r)
章3-2,contaminants,n.污染物,kənˈtæmɪnənts
章3-2,contamination,n. 污染；,kənˌtæmɪˈneɪʃ(ə)n
章3-2,content,n. 内容；含量； adj. 满足的；,ˈkɒntent
章3-2,continent,n. 洲；大陆；,ˈkɒntɪnənt
章3-2,contract,n. 合同；契约； v. 收缩；,ˈkɒntrækt
章3-2,contracts,n. 合同；契约；,ˈkɒntrækts; kənˈtrækts
章3-2,controversy,n. 争论；论战；,ˈkɒntrəvɜːsi
章3-2,convenience,n. 便利；方便；,kənˈviːniəns
章3-2,cooperations,合作，协力,kəʊˌɒpəˈreɪʃ(ə)n
章3-2,cop,n. <俚>警察,kɒp
章3-2,copy,n. 副本；(书，报纸等的) 一本；复制品； v. 复制；,ˈkɒpi
章3-2,corporation,n. 公司；企业；,ˌkɔːpəˈreɪʃ(ə)n
章3-2,corpse,n. 尸体,kɔːps
章3-2,correspondence,n. 通信联系；相似；,ˌkɒrəˈspɒndəns
章3-2,cost,n. 费用；代价； v. 花费；,kɒst
章3-2,costume,n. 服装；衣服；,ˈkɒstjuːm
章3-2,cot,n. 有围栏的幼儿床；轻便小床；,kɒt
章3-2,cottage,n. 村舍；小屋；,ˈkɒtɪdʒ
章3-2,cough,n. 咳嗽； v. 咳嗽；,kɒf
章3-2,council,n. 理事会；委员会；议会；,ˈkaʊns(ə)l
章3-2,country,n. 国家；乡村；,ˈkʌntri
章3-2,course,n. 过程；课程；一道菜；,kɔːs
章3-2,crack,n. 裂缝；噼啪声； v. 破裂；,kræk
章3-2,craft,n. 工艺；手艺；行业；航空器；,krɑːft
章3-2,cream,n. 奶油；护肤霜；,kriːm
章3-2,credit,n. 信用；赊账；赞扬；贷款；荣誉； v. 相信；,ˈkredɪt
章3-2,creek,n. 小河；溪流；,kriːk
章3-2,crime,n. 罪行；罪恶；,kraɪm
章3-2,crisis,n. 危机；危急关头；,ˈkraɪsɪs
章3-2,crocodile,n. 鳄鱼,ˈkrɒkədaɪl
章3-2,crop,n. 农作物；收成；,krɒp
章3-2,cultivation,n. 栽培；种植；,ˌkʌltɪˈveɪʃ(ə)n
章3-2,culture,n. 文化；培养；,ˈkʌltʃə(r)
章3-2,cup,n. 杯子；茶杯；,kʌp
章3-2,cupboard,n. 碗橱；衣橱；橱柜；,ˈkʌbəd
章3-2,curtain,n. 帷幕；窗帘；,ˈkɜːt(ə)n
章3-2,customer,n. 客户；顾客；主顾；,ˈkʌstəmə(r)
章3-2,cutlery,n. 餐具（刀、叉和匙）；,ˈkʌtləri
章3-2,cycle,n. 循环；周期；自行车； v. 骑自行车；循环；,ˈsaɪk(ə)l
章3-2,cycling,n. 骑自行车； v. 骑自行车；“cycle”的现在分词；,ˈsaɪklɪŋ
章3-2,damage,n. 损害；破损； v. 损害；破坏；,ˈdæmɪdʒ
章3-2,danger,n. 危险；威胁；危险物；,ˈdeɪndʒə(r)
章3-2,data,n. 数据；资料；,ˈdeɪtə
章3-2,date,n. 日期；年代；约会；枣子；枣椰树； v. 标日期；约会；追溯到；过时；,deɪt
章3-2,day,n. 日；天；时代；,deɪ
章3-2,deadline,n. 最终期限,ˈdedlaɪn
章3-2,debate,v. 辩论；争论 n. 辩论；争论,dɪˈbeɪt
章3-3,debt,n. 债务；,det
章3-3,decade,n. 十年,ˈdekeɪd
章3-3,decision,n. 决定；抉择；选择；,dɪˈsɪʒ(ə)n
章3-3,decline,n. 下降；衰退； v. 下降；衰退；,dɪˈklaɪn
章3-3,decorations,n. 装饰品；装饰物；“decoration”的复数；,ˌdekəˈreɪʃənz
章3-3,delay,n. 推迟；延缓；耽搁； v. 推迟；延缓；耽搁；,dɪˈleɪ
章3-3,delegate,v. 委派；,ˈdelɪɡeɪt
章3-3,delight,n. 高兴；,dɪˈlaɪt
章3-3,delivery,n. 交付；传送；,dɪˈlɪvəri
章3-3,demonstration,n. 示范；演示；,ˌdemənˈstreɪʃ(ə)n
章3-3,dentist,n. 牙科医生,ˈdentɪst
章3-3,department,n. 部；部门；系；,dɪˈpɑːtmənt
章3-3,deposit,n. 押金；存款；,dɪˈpɒzɪt
章3-3,depth,n. 深度；深刻；,depθ
章3-3,description,n. 描述；形容；,dɪˈskrɪpʃ(ə)n
章3-3,desert,n. 沙漠；荒漠；,ˈdezət
章3-3,design,n. 设计；图案；花样；企图；图谋； v. 设计；计划；谋划；构思；,dɪˈzaɪn
章3-3,designer,n. 设计者；构思者；,dɪˈzaɪnə(r)
章3-3,desire,n. 欲望；渴望； v. 渴望；期望；,dɪˈzaɪə(r)
章3-3,desks,n.书桌,dɛsks
章3-3,destination,n. 目的地；终点；,ˌdestɪˈneɪʃ(ə)n
章3-3,detail,n. 细节；详情；,ˈdiːteɪl
章3-3,diary,n. 日记,ˈdaɪəri
章3-3,dictation,n. 听写；口述；,dɪkˈteɪʃ(ə)n
章3-3,diet,n. 日常饮食；节食； v. 节制饮食；,ˈdaɪət
章3-3,dining,n. 吃饭；就餐； v. “dine”的现在分词；,ˈdaɪnɪŋ
章3-3,dinner,n. 晚餐；晚宴；,ˈdɪnə(r)
章3-3,dioxide,n. 二氧化物,daɪˈɒksaɪd
章3-3,direction,n. 方向；指导；指示；,dəˈrekʃ(ə)n
章3-3,director,n. 主任；导演；董事；,dəˈrektə(r)
章3-3,disagreement,n. 分歧；,ˌdɪsəˈɡriːmənt
章3-3,disaster,n. 灾害；灾难；,dɪˈzɑːstə(r)
章3-3,discipline,n. 纪律；学科；科目；训练；惩戒； v. 约束自己；,ˈdɪsəplɪn
章3-3,disco,n. 迪斯科舞会；迪斯科舞厅；,ˈdɪskəʊ
章3-3,discomfort,n. 不舒适；,dɪsˈkʌmfət
章3-3,discos,n.迪斯科,ˈdɪskəʊz
章3-3,discount,n. 折扣； v. 不全信；不重视；,ˈdɪskaʊnt
章3-3,discovery,n. 发现；,dɪˈskʌvəri
章3-3,disease,n. 疾病；,dɪˈziːz
章3-3,dish,n. 盘；,dɪʃ
章3-3,disposal,n. 处理；处置；,dɪˈspəʊz(ə)l
章3-3,dispute,n. 纠纷；争端； v. 对（某事）有异议；,dɪˈspjuːt
章3-3,distance,n. 距离；远处；,ˈdɪstəns
章3-3,divorce,n. 离婚； v. 和…离婚；,dɪˈvɔːs
章3-3,document,n. 文件；公文；文献； v. 记录；为…提供证明；,ˈdɒkjumənt
章3-3,documentary,n. 纪录片； adj. 文书的；,ˌdɒkjuˈmentri
章3-3,donation,n. 捐赠物；捐赠；,dəʊˈneɪʃ(ə)n
章3-3,donkey,n. 驴,ˈdɒŋki
章3-3,draft,n. 草稿；,drɑːft
章3-3,drama,n. 戏剧；话剧；,ˈdrɑːmə
章3-3,draw,v. 提取；画；吸引；拉；,drɔː
章3-3,drawer,n. 抽屉；,drɔː(r)
章3-3,drink,n. 饮料；酒； v. 喝；喝酒；,drɪŋk
章3-3,drinking,n. 喝；喝酒； v. 喝；喝酒；“drink”的现在分词；,ˈdrɪŋkɪŋ
章3-3,driver,n. 司机；驾驶员；,ˈdraɪvə(r)
章3-3,Driving,n. 驾驶； v. 驱使；驾驶；“drive”的现在分词； adj. 强有力的；推动的；,ˈdraɪvɪŋ
章3-3,drug,n. 药物；毒品；,drʌɡ
章3-3,drum,n. 鼓； v. 敲打；,drʌm
章3-3,due,adj. 应给的；预期的；到期的；,djuː
章3-3,duration,n. 持续时间；期间；,djuˈreɪʃ(ə)n
章3-3,dust,n. 粉尘；尘埃；,dʌst
章3-3,duty,n. 职责；责任；义务；,ˈdjuːti
章3-3,eagle,n. 鹰,ˈiːɡ(ə)l
章3-3,ear,n. 耳朵,ɪə(r)
章3-3,east,n. 东方； adj. 东方的； adv. 在东方；,iːst
章3-3,eating,n. 饮食；吃； v. 吃；“eat”的现在分词；,ˈiːtɪŋ
章3-3,economy,n. 经济；,ɪˈkɒnəmi
章3-3,editor,n. 编辑（者）；,ˈedɪtə(r)
章3-3,education,n. 教育,ˌedʒuˈkeɪʃ(ə)n
章3-3,elbow,n. 肘部 v. 用肘推挤,ˈelbəʊ
章3-3,elder,adj. 年长的； n. 长者；,ˈeldə(r)
章3-3,electricity,n. 电力；电学；,ɪˌlekˈtrɪsəti
章3-3,elements,n. 元素；要素（尤指）风雨；“element”的复数；,ˈelɪmənts
章3-3,elevator,n. 电梯；升降机；,ˈelɪveɪtə(r)
章3-3,emotion,n. 情绪；情感；,ɪˈməʊʃ(ə)n
章3-3,emperor,n. 皇帝；帝王；,ˈempərə(r)
章3-3,employee,n. 雇员；受雇者；,ɪmˈplɔɪiː
章3-3,employer,n. 雇主,ɪmˈplɔɪə(r)
章3-3,encyclopedia,n. 百科全书,ɪnˌsaɪkləˈpiːdiə
章3-3,ending,n. 结束；结局； v. 结束；“end”的现在分词；,ˈendɪŋ
章3-3,energies,n.能源,ˈenədʒiz
章3-3,engine,n. 发动机；引擎；,ˈendʒɪn
章3-3,engineer,n. 工程师；,ˌendʒɪˈnɪə(r)
章3-3,entrance,n. 入口；,ˈentrəns
章3-3,epidemic,n. 流行病；,ˌepɪˈdemɪk
章3-3,equipment,n. 设备；装备；,ɪˈkwɪpmənt
章3-3,ethic,n. 道德规范；伦理标准；,ˈeθɪk
章3-3,evening,n. 晚上；傍晚；,ˈiːvnɪŋ
章3-3,Event,n. 事件；大事；比赛项目；,ɪˈvent
章3-3,evidence,n. 证据；,ˈevɪdəns
章3-3,examination,n. 检查；考试；审查；,ɪɡˌzæmɪˈneɪʃ(ə)n
章3-3,example,n. 例子；实例；榜样；,ɪɡˈzɑːmp(ə)l
章3-3,exception,n. 例外；除外；,ɪkˈsepʃ(ə)n
章3-3,exchange,n. 交换；兑换；交易所； v. 交换；,ɪksˈtʃeɪndʒ
章3-3,excitement,n. 兴奋；,ɪkˈsaɪtmənt
章3-3,excursion,n. 短途旅行；,ɪkˈskɜːʃ(ə)n
章3-3,excuse,v. 原谅；,ɪkˈskjuːs
章3-3,exercises,n. 练习；锻炼；行使；“exercise”的复数； v. 使用；,ˈeksəsaɪzɪz
章3-3,exhibition,n. 展览；展出；,ˌeksɪˈbɪʃ(ə)n
章3-3,existence,n. 存在；生存；,ɪɡˈzɪstəns
章3-3,existing,adj. 现存的； v. 存在；“exist”的现在分词；,ɪɡˈzɪstɪŋ
章3-3,expansion,n. 扩张；扩充；,ɪkˈspænʃ(ə)n
章3-3,expense,n. 费用；开支；,ɪkˈspens
章3-3,experiment,n. 实验；试验； v. 做试验；进行实验；,ɪkˈsperɪmənt
章3-3,expert,n. 专家；行家； adj. 内行的；老练的；专门的；,ˈekspɜːt
章3-3,explanation,n. 解释；说明；阐述；,ˌekspləˈneɪʃ(ə)n
章3-3,explosion,n. 爆炸；（感情）爆发；激增；,ɪkˈspləʊʒ(ə)n
章3-3,exposition,n. 博览会；展览会；,ˌekspəˈzɪʃ(ə)n
章3-3,exposure,n. 暴露；显露；揭露；,ɪkˈspəʊʒə(r)
章3-3,extension,n. 扩展；延长期；延伸；电话分机；,ɪkˈstenʃ(ə)n
章3-3,facility,n. 设施；特色功能；特定场所；资质；,fəˈsɪləti
章3-3,factor,n. 因素；要素；倍数； v. 把…因素包括进去；,ˈfæktə(r)
章3-3,factory,n. 工厂；制造厂；,ˈfæktəri
章3-4,faculty,n. 院系；全体教员；,ˈfæk(ə)lti
章3-4,failure,n. 失败,ˈfeɪljə(r)
章3-4,falcon,n. 猎鹰,ˈfɔːlkən
章3-4,fan,n. 粉丝；风扇；,fæn
章3-4,fare,n. 车费；费用； v. 进展；成功（或不成功等）；,feə(r)
章3-4,farm,n. 农场；农庄； v. 耕种；,fɑːm
章3-4,farmer,n. 农场主；农民；,ˈfɑːmə(r)
章3-4,farming,n. 农事；耕作；养殖； v. 务农；“farm”的现在分词；,ˈfɑːmɪŋ
章3-4,fashion,n. 时尚；流行；方式；,ˈfæʃ(ə)n
章3-4,fat,n. 脂肪； adj. 肥的；,fæt
章3-4,feast,n. 盛宴；宴会；节日；,fiːst
章3-4,feather,n. 羽毛,ˈfeðə(r)
章3-4,feature,n. 特征；报刊特写； v. 以…为特色；是…的重要组成；,ˈfiːtʃə(r)
章3-4,feedback,n. 反馈,ˈfiːdbæk
章3-4,fellowship,n. 伙伴关系；情谊；团体；联谊会；研究生奖学金,ˈfeləʊʃɪp
章3-4,female,adj. 女性的；雌性的； n. 雌性；女性；,ˈfiːmeɪl
章3-4,ferries,n.轮渡,ˈferiz
章3-4,festival,n. 节日,ˈfestɪv(ə)l
章3-4,field,n. 领域；田地；场地；运动场； v. 处理，应付（问题、电话等）；,fiːld
章3-4,figure,v. 弄懂；认为； n. 数字；重要或有名的人物；,ˈfɪɡə(r)
章3-4,film,n. 电影；底片；薄薄的一层； v. 拍摄电影；,fɪlm
章3-4,finding,n. 调查发现； v. 找到；发现；“find”的现在分词；,ˈfaɪndɪŋ
章3-4,finger,n. 手指；,ˈfɪŋɡə(r)
章3-4,firms,n. 公司；“firm”的复数；,fɜːmz
章3-4,fish,n. 鱼；鱼肉； v. 钓鱼；捕鱼；,fɪʃ
章3-4,fishing,n. 钓鱼；捕鱼； v. 钓鱼；捕鱼；“fish”的现在分词；,ˈfɪʃɪŋ
章3-4,flag,n. 旗；旗帜；信号旗； v. 用旗标记；,flæɡ
章3-4,flash,n. 闪光；一刹那； v. 闪光；闪现；,flæʃ
章3-4,flat,n. 公寓； adj. 平坦的；扁平的；(轮胎)瘪了的；平淡无味的； adv. 直接地；,flæt
章3-4,flight,n. 航班；飞行；（阶梯的）一段；,flaɪt
章3-4,flood,n. 洪水；水灾； v. 淹没；泛滥；,flʌd
章3-4,flooding,n. 洪水泛滥； v. 淹没；“flood”的现在分词；,ˈflʌdɪŋ
章3-4,flour,n. 面粉,ˈflaʊə(r)
章3-4,flourish,v. 繁荣兴旺；茁壮成长；,ˈflʌrɪʃ
章3-4,flow,n. 流动； v. 流动；,fləʊ
章3-4,flu,n. 流感；流行性感冒；,fluː
章3-4,fly,v. 飞翔；飞行； n. 苍蝇；,flaɪ
章3-4,forest,n. 森林,ˈfɒrɪst
章3-4,forestry,n. 森林学；,ˈfɒrɪstri
章3-4,form,n. 形式；表格；形状； v. 组成；建立；,fɔːm
章3-4,formula,n. 方案；配方；,ˈfɔːmjələ
章3-4,fortnight,n. 两星期,ˈfɔːtnaɪt
